todofuken,shikuchoson,lat,lon,code,geog
北海道,札幌市,43.061972,141.354374,01100,SRID=4326;POINT(141.354374 43.061972)
宮城県,仙台市,38.268008,140.869617,04100,SRID=4326;POINT(140.869617 38.268008)
埼玉県,さいたま市,35.861515,139.645502,11100,SRID=4326;POINT(139.645502 35.861515)
千葉県,千葉市,35.607331,140.10638,12100,SRID=4326;POINT(140.10638 35.607331)
神奈川県,横浜市,35.444035,139.637954,14100,SRID=4326;POINT(139.637954 35.444035)
神奈川県,川崎市,35.530806,139.703012,14130,SRID=4326;POINT(139.703012 35.530806)
神奈川県,相模原市,35.571376,139.373268,14150,SRID=4326;POINT(139.373268 35.571376)
新潟県,新潟市,37.916128,139.036402,15100,SRID=4326;POINT(139.036402 37.916128)
静岡県,静岡市,34.975473,138.382388,22100,SRID=4326;POINT(138.382388 34.975473)
静岡県,浜松市,34.710865,137.726117,22130,SRID=4326;POINT(137.726117 34.710865)
愛知県,名古屋市,35.181433,136.906421,23100,SRID=4326;POINT(136.906421 35.181433)
京都府,京都市,35.011574,135.768181,26100,SRID=4326;POINT(135.768181 35.011574)
大阪府,大阪市,34.693891,135.502046,27100,SRID=4326;POINT(135.502046 34.693891)
大阪府,堺市,34.573354,135.48302,27140,SRID=4326;POINT(135.48302 34.573354)
兵庫県,神戸市,34.689495,135.195728,28100,SRID=4326;POINT(135.195728 34.689495)
岡山県,岡山市,34.655107,133.919566,33100,SRID=4326;POINT(133.919566 34.655107)
広島県,広島市,34.385253,132.455337,34100,SRID=4326;POINT(132.455337 34.385253)
福岡県,北九州市,33.883408,130.875183,40100,SRID=4326;POINT(130.875183 33.883408)
福岡県,福岡市,33.590313,130.401735,40130,SRID=4326;POINT(130.401735 33.590313)
熊本県,熊本市,32.803078,130.707897,43100,SRID=4326;POINT(130.707897 32.803078)
